,question,answer,img_id,type
0,có gì trên đường phố,xe đẩy,376625,0
1,những gì đang đi trong khu vực được chỉ định của họ trong một sở thú,con voi,534308,0
2,màu của bầu trời là gì,màu xanh dương,430654,2
3,có bao nhiêu con hươu cao cổ đang đứng dưới bóng cây,ba,282987,1
4,có bao nhiêu phụ nữ đang chơi trên máy tính xách tay gần một hộp bánh rán,hai,211850,1
5,con mèo đen trắng đang ngồi ở đâu,chậu,567754,3
6,có bao nhiêu cô gái nhỏ đang nằm trên giường đọc sách,hai,449852,1
7,cậu bé rất trẻ đang giữ gì,chiếc ô,401552,0
8,phòng tắm với nhà vệ sinh và đứng lên cái gì,vòi hoa sen,374707,0
9,ngựa vằn đang ăn gì bên cạnh hàng rào,bãi cỏ,445439,0
10,màu của chăn là gì,màu xanh dương,104454,2
11,"những gì đầy cần tây, hành tây và cà rốt",chảo,393838,0
12,cuộc gọi trắng của người lớn đang ngủ ở đâu,quả bóng,275371,3
13,những gì bao phủ trong ruột bên cạnh một cái bát,dao,546500,0
14,một số đầu bếp hoạt động ở đâu,phòng bếp,331759,3
15,những gì đang ngồi đằng sau đôi giày,cún yêu,412240,0
16,những gì đang đứng trong tự nhiên cùng nhau,ngựa vằn,423810,0
17,hai người đông người ở đâu,phòng tắm,359180,3
18,những gì đỗ đỗ dọc theo đường phố,xe đạp,557552,0
19,có bao nhiêu cốc có con chó trên đó và người kia có một con mèo,một,212877,1
20,màu của phòng ngủ là gì,màu trắng,230109,2
21,một người đàn ông đang làm ở đâu,lối đi,47734,3
22,màu của con chó là gì,màu đen,491525,2
23,con mèo đen nhỏ đang ngồi ở đâu,cái túi,51095,3
24,cái gì thò đầu ra khỏi cửa kính ô tô,con chó,346071,0
25,nơi một số đang đứng là ở đâu,trạm,493252,3
26,màu của đèn dừng là gì,màu vàng,534791,2
27,những gì trên nhánh cây ,con chim,346067,0
28,người đang chụp ảnh ở đâu,gương,513129,3
29,có gì giữa đám cỏ dại,vòi,378831,0
30,những gì bị treo trên móc thực vật bởi một sợi dài màu xám ngọc trai,gấu,473942,0
