question,answer,img_id,type
người phụ nữ đang đi trên đường với chiếc ô chấm bi mở là gì,rau,353658,0
người phụ nữ mặc tạp dề cầm cái gì bên bồn rửa bát,cái thìa,523660,0
màu của bàn chải là gì,màu đen,445143,2
có bao nhiêu bình khác nhau trên kệ,ba,551889,1
có bao nhiêu hình ảnh riêng biệt với các loại pizza khác nhau trong đó,ba,39976,1
gia đình đang chơi wii ở đâu,nhà ở,235429,3
có bao nhiêu con hươu cao cổ hôn nhau khi bị nhốt trong chuồng,hai,344038,1
những gì đỗ ở phía trước của một tòa nhà,xe buýt,424927,0
những gì nằm trên cây ngô,con chim,466531,0
những gì được chụp bên cạnh trên thảm trắng,ván trượt,430096,0
màu của dĩa nhựa là gì,màu tía,316477,2
những gì được trang trí cho kỳ nghỉ đông và có tháp đồng hồ mộc mạc,phòng,381699,0
người phụ nữ và một đứa trẻ vuốt ve một con cừu ở đâu,chuồng,578519,3
những gì nâng cao thân của họ với nhau,con voi,340305,0
pizza dứa được nấu ở đâu,chảo,300396,3
người phụ nữ cưỡi gì trên mặt đất trên tuyết,ván trượt,439522,0
đang ăn cỏ gần mặt nước làm gì,con cừu,340272,0
giường và ghế ở đâu,phòng,265908,3
người đội mũ bảo hiểm xe máy đang đi cái gì,ván trượt,476119,0
có bao nhiêu con hươu cao cổ cao đứng cạnh nhau,hai,480842,1
màu của sơn là gì,màu vàng,416936,2
người phụ nữ trẻ đang chụp ảnh tự sướng ở đâu,gương,179112,3
màu của băng ghế là gì,màu xanh dương,350592,2
ngũ cốc ở đâu cạnh chiếc bánh rán sô cô la trên đĩa,bát,364364,3
nhóm người đi xuống vỉa hè là gì,bảng,385196,0
người đàn ông đang nằm ở đâu,giường,395817,3
màu của dĩa nhựa là gì,màu vàng,564483,2
những gì đang đi trên đường ray,tàu hỏa,565331,0
nhà vệ sinh đặt ở đâu,phòng tắm,170885,3
cái gì đậu trước cửa hàng,xe tay ga,360540,0
những gì đi bộ trên bàn gần một cái đĩa,con chim,409088,0
băng ghế đơn nhìn ra gì,hồ,397109,0
có bao nhiêu người lướt sóng bước ra nước vào lúc hoàng hôn,bốn,374848,1
cái gì nằm trên bờ biển,con thuyền,354744,0
ba chàng trai đã mua những gì ở cùng một nơi,đồng hồ,522727,0
những con ngựa vằn nằm ở đâu,vườn bách thú,442793,3
những gì đỗ ở phía trước nhà với một loạt các dấu hiệu dừng được sắp xếp trước mặt họ,xe ô tô,433904,0
cái gì đang với lên để lấy một sợi lông trên một sợi dây,con mèo,372227,0
những gì được hiển thị với trang trí màu trắng và tủ màu nâu,phòng tắm,380854,0
có bao nhiêu người đang ngồi trên băng ghế bên cạnh một cửa hàng,bốn,198079,1
có bao nhiêu con ngựa vằn làm ở sở thú triển lãm lang thang trên đồng cỏ,ba,170428,1
