,question,answer,img_id,type
0,những gì ngồi trong chiếc bình bên cửa sổ,bông hoa,486573,0
1,những con mèo đang chơi xung quanh vali ở đâu,phòng,383885,3
2,những gì kéo lên cổng để tải và dỡ hành khách,máy bay,413734,0
3,hai quân nhân cắt lát những gì,bánh,548288,0
4,màu của con bò là gì,màu đen,137806,2
5,những gì đang đỗ và bị xích ra ngoài,xe máy,449768,0
6,có bao nhiêu người chơi quần vợt chơi quần vợt trên sân,hai,228708,1
7,bàn và ghế được kết nối ở đâu,phòng,316882,3
8,những gì nằm ở bên cạnh một tòa nhà,đồng hồ,551780,0
9,những gì chứa đầy kéo và đèn,cái mâm,537692,0
10,những gì đang bay trên cơ thể của nước,con chim,542234,0
11,cái gì đậu trên đường phố thành phố với những tòa nhà cao tầng trong nền,xe ô tô,555597,0
12,màu của con ngựa là gì,màu nâu,365536,2
13,con ngựa kéo những gì ngồi trong một con phố cổ,xe,522990,0
14,người phụ nữ ở đâu,phòng bếp,548118,3
15,cái gì đang nằm yên trên cuộn băng trong,cây kéo,348012,0
16,có bao nhiêu con gấu nâu ở cùng nhau trong tự nhiên,hai,20247,1
17,những gì nằm bên cạnh bồn tắm trong một phòng tắm trống,nhà vệ sinh,446574,0
18,cái gì đang đỗ tại ga tàu,xe ô tô,418533,0
19,bồn tắm hiện đại được hiển thị ở đâu,phòng tắm,466800,3
20,cái gì đang lái xe qua cánh đồng với một con sếu trắng,xe tải,379376,0
21,những gì xếp hàng tại cơ sở trong nhà ở khu vực đô thị,xe buýt,448964,0
22,màu của quá cảnh là gì,màu vàng,440885,2
23,những cuộn bánh quế nằm ở đâu,lò vi sóng,93601,3
24,màu sắc của người chơi là gì,màu tía,520434,2
25,đống hành lý lớn ở đâu,kho,544719,3
26,những gì ngồi và nhìn chằm chằm trong khi trên một bệ cửa sổ,con mèo,489257,0
27,có bao nhiêu con hươu cao cổ đang ăn trong vườn thú,hai,7697,1
28,màu của phòng tắm là gì,màu trắng,581601,2
29,những gì trong bình thủy tinh trong vắt,hoa hồng,541353,0
30,những gì chứa đầy đồ nội thất và tv,phòng,429593,0
31,cái gì bày ra trên bàn,sandwich,338581,0
32,người đàn ông đang xem máy tính xách tay của mình ở đâu,giường,460916,3
33,có bao nhiêu người lướt sóng đang lướt trong sóng biển,hai,509415,1
34,cái gì đang ngồi trên cái quầy màu trắng,lọ cắm hoa,364699,0
35,những gì trên dải hạ cánh chuẩn bị cất cánh,máy bay,501502,0
36,người phụ nữ mặc những gì đang đi xe đạp,đầm,549390,0
37,những gì đứng với nhiều loại trái cây,hoa quả,419350,0
38,"có bao nhiêu con cừu trên đồi đang ăn cỏ, nhìn ra đại dương",năm,238748,1
39,những gì lăn qua thành phố,tàu hỏa,508041,0
40,nhà vệ sinh và bồn tắm ở đâu,phòng tắm,68283,3
41,mèo đã cuộn tròn ở đâu,cái túi,480991,3
42,mọi người đang xem bốn con voi ở đâu,vườn bách thú,451872,3
43,những gì đang đi xuống phố,xe ô tô,559113,0
44,có bao nhiêu đối thủ trên sân quần vợt cũng như người lấy bóng và trọng tài biên,hai,255941,1
45,những gì được tạo thành từ thịt và rau,món ăn,523560,0
46,người đàn ông mặc quần yếm màu vàng đang cầm cái gì,chuối,558611,0
47,màu của chiếc đĩa là gì,màu trắng,74403,2
48,cái gì đang ngồi đằng sau cái loa,con mèo,371117,0
49,có bao nhiêu người đi trên hai xe máy trên đường phố,hai,14388,1
50,màu của sự lây lan là gì,màu tía,220518,2
51,màu của ghế là gì,màu trắng,284464,2
52,người đàn ông trẻ đang nghỉ trưa ở đâu,văn phòng,140263,3
53,có bao nhiêu con hươu cao cổ trong khu vực cỏ cạnh hàng rào,bốn,68625,1
54,người đàn ông mặc những gì đang bay một con diều,áo sơ mi,539937,0
55,người phụ nữ giữ bàn chải đánh răng ở đâu,cửa hàng,88514,3
56,màu của du thuyền là gì,màu trắng,570574,2
57,những gì đang nhìn ra một bãi đậu xe từ một cửa sổ,con chó,486484,0
58,"người đàn ông đá bóng đá ở đâu,",sân vận động,562325,3
59,màu sắc của đôi bốt là gì,màu đen,403592,2
60,nhà vệ sinh và một đôi giày ở đâu,nhà vệ sinh,252699,3
61,màu sắc của cây là gì,màu xanh lá,128670,2
62,màu của các tấm là gì,màu trắng,335249,2
63,màu của bông hoa là gì,màu vàng,355270,2
64,màu của vùng đât là gì,màu xanh lá,229352,2
65,cái gì nằm trong thùng chứa với bút và bút đánh dấu,cây kéo,340930,0
66,những gì một mình gần với rừng,hươu cao cổ,473673,0
67,có bao nhiêu quả cam đang ngồi trên đầu máy ép trái cây,bốn,153162,1
68,màu sắc của trang phục là gì,màu tía,419173,2
69,màu của cái tủ là gì,màu nâu,25470,2
70,những gì được thiết lập trên bãi biển dưới ánh mặt trời,chiếc ô,514607,0
71,màu của dấu hiệu là gì,màu vàng,443735,2
72,cậu bé mỉm cười ở đâu trong khi cầm bàn chải đánh răng,bồn tắm,549746,3
73,những gì đang đứng trên đỉnh của một chiếc đồng hồ,con chim,567383,0
74,mèo con đang chơi ở đâu,gương,460661,3
75,những gì được bao phủ bởi rất nhiều bông cải xanh và cà chua,bữa ăn,577321,0
76,những gì được làm bằng vải đầy màu sắc,diều,500420,0
77,con chó đen nhìn sự phản chiếu của nó ở đâu,gương,457477,3
78,có bao nhiêu người đàn ông trao cúp qua lưới trong một sân tennis,bốn,486606,1
79,thứ gì đang ngậm dĩa nhựa trong miệng khi nó đang chạy,con chó,572825,0
80,những gì lấy từ khoảng cách của những người cưỡi ngựa ở bãi biển,bức ảnh,434247,0
81,có bao nhiêu con voi trong rạp xiếc đang thư giãn trước buổi biểu diễn khác,ba,467467,1
82,màu của xe buýt là gì,màu đen,560997,2
83,có bao nhiêu con gấu bông trắng đang ngồi cạnh nhau,hai,515006,1
84,những gì chứa đầy nhiều gấu nhồi bông,cái kệ,473919,0
85,những gì đang mặc chiếc mũ bóng chày sang một bên,con mèo,475732,0
86,pizza lớn chứa ở đâu,hộp,244465,3
87,cái gì đậu bên ngoài tòa nhà,xe ô tô,357944,0
88,những gì chống đỡ trên bãi biển đông đúc,con thuyền,461016,0
89,những gì sắp đặt trên bàn trong một phòng chung,lò vi sóng,349525,0
90,hai người phụ nữ đang thả cái gì hình một con chim,diều,502220,0
91,người trẻ đang mang vào nước là gì,ván lướt sóng,401897,0
92,những gì đang bay trên bầu trời trong,con chim,420929,0
93,cái gì trên bàn gỗ,đĩa ăn,463134,0
94,màu của băng ghế là gì,màu xanh dương,350592,2
95,màu của dấu hiệu là gì,màu xanh dương,10420,2
96,những gì đang chờ để được lên máy bay,xe buýt,466346,0
97,bồn rửa chén màu trắng ở đâu,phòng tắm,435452,3
98,những gì đang đứng cùng nhau trong một cánh đồng cỏ,ngựa vằn,546011,0
99,những gì được cắt thành bốn lát trên đĩa,pizza,353830,0
100,có bao nhiêu chiếc bánh nướng xốp được xếp trên đệm ghế,ba,51289,1
101,những gì đang sống với chiếc ghế dài và bàn cà phê,phòng,444207,0
102,màu sắc của kéo là gì,màu cam,528161,2
103,màu của điểm dừng là gì,màu đỏ,46786,2
104,người đàn ông và một người phụ nữ trong trang phục cưới cho ăn gì,hươu cao cổ,531928,0
105,tàu đỏ dừng ở đâu,trạm,395614,3
106,màu của máy tính xách tay là gì,màu đen,163829,2
107,màu của gấu là gì,màu đen,519205,2
108,màu của tường là gì,màu cam,293716,2
109,một chiếc máy bay cũ ở đâu,ga-ra,104610,3
110,những gì đang lái xuống đường trước nhà,xe ô tô,499388,0
111,hai người đàn ông đang nhìn lửa ở đâu,lò vi sóng,470046,3
112,cậu bé ăn thức ăn ở đâu,giường,537316,3
113,cái gì đang đi xuống kênh nước,con thuyền,377080,0
114,màu của con mèo là gì,màu nâu,381047,2
115,màu của chiếc tàu là gì,màu đỏ,291290,2
116,cô bé nằm ở đâu,giường,369338,3
117,nhóm tập hợp xung quanh cái gì tại một chiếc máy bay,hành lý,472376,0
118,nhóm người trên xe đạp đã làm gì ở đâu,đường phố,64170,3
119,những gì được thể hiện đang phát triển giữa các kim thông,cây,410934,0
120,nhóm người đang đứng trong phòng là gì và một trong số họ đang xem,những bức ảnh,366104,0
121,hai con ngựa màu nâu kéo những gì người ngồi bên đường đồng hồ,xe,391829,0
122,hai người đàn ông trong trang phục ăn bánh rán,cửa hàng,269004,3
123,vài chiếc xe máy đang di chuyển ở đâu,đường phố,185293,3
124,màu sắc của bông hoa là gì,màu tía,575469,2
125,những gì xếp hàng ở ga xe lửa,xe lửa,341815,0
126,một con chó đen và trắng đang đứng ở đâu,bồn tắm,546762,3
127,màu sắc của đôi giày là gì,màu xanh lá,460737,2
128,những gì đỗ trong lô,xe buýt,394275,0
129,màu của cầu là gì,màu tía,181990,2
130,những gì ở cuối một con đường đông đúc,tòa tháp,566026,0
131,đường xuống phố trên đường là những gì,phương tiện giao thông,520503,0
132,có một người đàn ông giữ những gì và điều khiển một ván lướt sóng,cây sào,560646,0
133,có bao nhiêu con ngựa vằn đang đi trên đường,hai,263014,1
134,có bao nhiêu phụ nữ mặc áo sơ mi xanh ở bàn cam,ba,333565,1
135,cái kéo và hạt màu xanh lá cây để ở đâu,bát,481120,3
136,hai giường đơn đặt ở đâu,phòng ngủ,526793,3
137,người đang thọc tay vào đâu,chậu,381470,3
138,màu của ánh sáng là gì,màu đỏ,408303,2
139,những gì đang đi xung quanh không gian hạn chế của mình tại sở thú,gấu,547645,0
140,có bao nhiêu con hươu cao cổ đứng cạnh màn hình ai cập giả,ba,55973,1
141,hàng chục bánh rán đang nằm ở đâu,hộp,59454,3
142,màu của ghế là gì,màu vàng,267022,2
143,còn bao nhiêu điều khiển từ xa trên sàn nhà,năm,259104,1
144,màu của máy bay là gì,màu xanh lá,307567,2
145,màu của chiếc mũ là gì,màu đen,458960,2
146,những gì chứa một tai ngô và một món salad mì ống với rau và trứng,đĩa ăn,566502,0
147,những gì được hiển thị với các sản phẩm khác trong nền,táo,352377,0
148,những gì đậu trên cành cây,con chim,396252,0
149,màu của con mèo là gì,màu đen,531076,2
150,xe mô tô màu xanh đang ở đâu,đường,256951,3
151,người phụ nữ đang giữ cái gì và đóng băng trên đó,donut,406182,0
152,những gì dừng trên đường phố gần các tòa nhà và các dấu hiệu dừng lại,xe ô tô,433904,0
153,màu của phòng tắm là gì,màu trắng,562849,2
154,những gì chứa đầy croissant với hotdogs ở giữa,cái mâm,538236,0
155,cái gì đang đỗ bên cạnh lề đường,xe buýt,558539,0
156,những gì uốn cong để ăn một số thực phẩm,hươu cao cổ,528261,0
157,màu sắc của hành lý là gì,màu đen,570409,2
158,đầu máy màu vàng và trắng kéo những gì trên đường ray,xe ô tô,434022,0
159,màu của con bò là gì,màu nâu,60599,2
160,những gì có vẻ rất thấp đến sàn,nhà vệ sinh,404608,0
161,những gì đang báo lại trên một tấm nệm không được phủ,con mèo,467157,0
162,hai con chó nâu và trắng đang chơi là gì,dĩa nhựa,421072,0
163,người phụ nữ nằm ở đâu,giường,45425,3
164,con chó nâu đang nằm ở đâu,giường,372976,3
165,có bao nhiêu người gắt gỏng đang ngồi trên một chiếc bàn dài,ba,523995,1
166,những gì được bao phủ trong cỏ và cỏ dại vào ban đêm,bát,410670,0
