,question,answer,img_id,type
0,cái gì đã làm cho giống chó dalmatian,vòi,354278,0
1,có bao nhiêu thành viên của quân đội cắt một chiếc bánh kỷ niệm trong khi một nhóm lớn nhìn vào,ba,370591,1
2,những gì đứng cạnh kệ với chai trên chúng,tủ đá,533589,0
3,màu của gấu là gì,màu nâu,314949,2
4,tv đang ngồi ở đâu,phòng,544703,3
5,"cái gì mở ra phòng tắm đơn giản, màu trắng",cửa,507893,0
6,người phụ nữ bận rộn đang chuẩn bị một bữa ăn ở đâu,phòng bếp,384907,3
7,hai người phụ nữ giữ gì trong khi chờ đợi để băng qua đường trong một thành phố,chiếc ô,413689,0
8,cái gì có vẻ làm người chơi quần vợt bị chói mắt,mặt trời,354174,0
9,màu của chiếc tàu là gì,màu đỏ,68063,2
10,màu của ghế là gì,màu đen,256190,2
11,những gì đứng trên cành cây gần đại dương,con chim,546298,0
12,người đàn ông đứng ở đâu,phòng,58105,3
13,màu của tòa nhà là gì,màu trắng,371791,2
14,cái gì đang đỗ trong con hẻm hẹp,xe đạp,400658,0
15,hai người đàn ông ngồi ở đâu,phòng,402042,3
16,những gì đứng gần nhau ăn từ một máng ăn,hươu cao cổ,504024,0
17,đổ những gì một mình trên đường với các tòa nhà và cây trần và cây bụi đằng sau nó,xe tải,454382,0
18,màu của bảng là gì,màu cam,392974,2
19,2 người được phản chiếu ở đâu,gương,227127,3
20,có bao nhiêu con mèo đang ngồi trên một chiếc ghế dài đang giữ,hai,506740,1
21,có bao nhiêu người đàn ông đang làm việc tại quầy sử dụng trái cây họ cam quýt,hai,417111,1
22,cái gì nhìn cái bồn đầy nước,con mèo,497443,0
23,đâu là nơi một vài con hươu cao cổ đứng,chuồng,150996,3
24,con mèo xiêm nằm ở đâu,chậu,84881,3
25,những gì được trang trí bằng vàng mềm và tông màu hồng sâu,phòng,384375,0
26,màu của gấu là gì,màu nâu,84165,2
27,màu của áo là gì,màu tía,318162,2
28,hình ảnh của một người đàn ông đang cầm bàn chải đánh răng được phản chiếu ở đâu,gương,227638,3
29,người mặc gì khi kiểm tra ván trượt,quần short,559483,0
30,cái gì quá bẩn thỉu nó có thể không hoạt động nữa,phòng tắm,356351,0
31,có bao nhiêu con gấu trong một khu vực như vườn bách thú,hai,253578,1
32,người phụ nữ nhìn ở đâu,gương,224938,3
33,những gì nhiều lớp lớn với nến dính ra khỏi nó,bánh,461378,0
34,có bao nhiêu người đàn ông mặc vest cầm điện thoại di động,hai,271116,1
35,rèm treo ở đâu,phòng tắm,301783,3
36,cái gì đang mở trong phòng tối,cửa ra vào,343603,0
37,màu sắc của kéo là gì,màu tía,226055,2
38,cái gì ở trên với cái chảo đầy thức ăn,quầy tính tiền,505240,0
39,có bao nhiêu con diều sặc sỡ tất cả đều được xâu chuỗi theo cùng một đường,bảy,97099,1
40,màu của động vật là gì,màu đen,105134,2
41,cái gì mà một chiếc xe mười tám bánh lăn trên đường cao tốc,cây,348475,0
42,những gì trông giống như họ quan tâm đến trò chơi,con chó,406681,0
43,màu của cỏ là gì,màu xanh lá,154770,2
44,màu sắc của công viên là gì,màu xanh lá,74411,2
45,màu của cà phê là gì,màu đen,369357,2
46,những gì được ngồi trên một con chim trống,con chim,412355,0
47,có bao nhiêu chiếc vali lớn xếp chồng lên tường,sáu,157206,1
48,một số loại rau trộn với nhau ở đâu,cái nồi,370613,3
49,nhiều trái cây và rau quả ở đâu,thùng chứa,524662,3
50,cái hộp đựng thứ nằm bên cạnh một quả chuối và một bát granola,nước,454731,0
51,những gì đang tận hưởng nước ngoài khơi,con vịt,507550,0
52,những gì đang nằm trên chảo kim loại,pizza,556478,0
53,những gì đang lái xe xuống một lối đi phủ đá,xe buýt,568290,0
54,màu của đốm là gì,màu xanh dương,99165,2
55,những gì uốn cong xuống để cắn con cừu nhỏ màu đen,con cừu,421976,0
56,người đàn ông ở sảnh tiếp tân cầm cái gì,nước,347254,0
57,hai người đàn ông và một người phụ nữ nói chuyện ở đâu,kho,17582,3
58,người đàn ông đang giữ một ván trượt đang đứng ở đâu,ô cửa,511802,3
59,cặp vợ chồng kéo là gì,xe đẩy,384513,0
60,những gì bên cạnh bức tường đá cao,hươu cao cổ,506224,0
61,"những gì chứa đầy máy tính, máy in và các thiết bị điện tử khác",cái bàn,507575,0
62,màu của bánh là gì,màu vàng,332614,2
63,những gì đứng giữa đại dương và đường,con ngựa,462329,0
64,có bao nhiêu người đàn ông ngồi trên băng ghế cùng nhau trong bụi bẩn,ba,187442,1
65,những gì ăn một số lá trên một hàng rào,hươu cao cổ,506574,0
66,một lò nướng ở đâu,phòng bếp,484332,3
67,những gì đang ngồi trong một khu vực nông trại,con bò,518363,0
68,bao nhiêu thanh niên mặc vest đứng gần nhau,bốn,392664,1
69,có bao nhiêu con hươu cao cổ đi bộ dọc theo con đường trong vòng vây của chúng,bốn,107511,1
70,màu của bãi cỏ là gì,màu xanh lá,448698,2
71,màu của nhà vệ sinh là gì,màu vàng,202832,2
72,chuối và kiwi trong bức ảnh gọi là gì,hoa quả,581781,0
73,những gì bị chiếm bởi con ngựa nhỏ nhỏ,cái ghế,417653,0
74,những gì giữ bó hoa trang trí,lọ cắm hoa,492911,0
75,những gì đang đứng bên đường,gia súc,417085,0
76,người đàn ông tự chụp ảnh của mình ở đâu,phòng,121219,3
77,màu của gấu là gì,màu đen,226461,2
78,có bao nhiêu con mèo đang thư giãn trên chiếc giường trắng nguyên sơ,hai,553547,1
79,những gì được chia thành nhiều lát vuông,pizza,569960,0
80,những gì đang nhìn ra một bãi đậu xe từ một cửa sổ,con chó,486484,0
81,"có bao nhiêu chiếc bánh rán với nhiều hương vị, hình dạng và kích cỡ khác nhau",sáu,411182,1
82,con mèo màu cam và trắng đang ngồi ở đâu,chậu,557239,3
83,màu của con chó là gì,màu nâu,224468,2
84,những gì vỏ nghỉ ngơi trên thiết bị trong một nhà hàng,pizza,384401,0
85,những gì ngồi trong nồi hình chữ nhật nhỏ,bông hoa,424984,0
